id,date_start,date_end,latitude,longitude,type_of_violence,best
543519,2024-10-01,2024-10-01,46.63695,32.61458,1,7
543520,2024-10-01,2024-10-01,47.84126,35.121166,1,1
544287,2024-10-01,2024-10-01,51.77006,34.06729,1,1
544289,2024-10-01,2024-10-01,48.30161,37.37398,1,2
544290,2024-10-01,2024-10-01,50.24047,36.79312,1,2
545205,2024-10-01,2024-10-01,47.49629,34.41026,1,1
546584,2024-10-02,2024-10-02,46.67666,32.73061,1,1
546585,2024-10-02,2024-10-02,46.63695,32.61458,1,1
546594,2024-10-02,2024-10-02,48.24221,37.33707,1,2
546671,2024-10-03,2024-10-03,52.02407,31.8542,1,3
546674,2024-10-03,2024-10-03,48.32113,37.763277,1,1
546675,2024-10-03,2024-10-03,50.24047,36.79312,1,2
546676,2024-10-03,2024-10-03,48.055356,37.369373,1,1
546699,2024-10-04,2024-10-04,46.625231,32.441369,1,1
546700,2024-10-04,2024-10-04,46.570878,32.145303,1,1
546701,2024-10-01,2024-10-01,48.221848,37.198509,1,16
546702,2024-10-04,2024-10-04,50.307818,37.014103,1,1
546768,2024-10-07,2024-10-07,46.466667,30.733333,1,1
546829,2024-10-05,2024-10-05,47.53559,35.90223,1,2
546830,2024-10-05,2024-10-05,48.2688,37.31769,1,2
546834,2024-10-06,2024-10-06,49.30164,37.66386,1,1
546844,2024-10-04,2024-10-05,49.5,36.5,1,1
546846,2024-10-06,2024-10-06,48.520114,37.704963,1,1
546849,2024-10-06,2024-10-06,48.01,37.30175,1,1
546850,2024-10-06,2024-10-06,48.295873,37.270044,1,2
546851,2024-10-06,2024-10-06,50.29078,36.94108,1,2
546852,2024-10-06,2024-10-06,48.59348,37.85724,1,1
546859,2024-10-07,2024-10-07,48.853333,37.625,1,1
546860,2024-10-07,2024-10-07,50.24047,36.79312,1,2
546861,2024-10-07,2024-10-07,48.14708,37.30032,1,2
546863,2024-10-05,2024-10-06,48.871678,38.092445,1,1
546870,2024-10-08,2024-10-08,46.67666,32.73061,1,1
546871,2024-10-08,2024-10-08,49.98081,36.25272,1,2
546873,2024-10-08,2024-10-08,49.5294,37.71496,1,1
546874,2024-10-08,2024-10-08,48.520114,37.704963,1,1
546876,2024-10-08,2024-10-08,48.32113,37.763277,1,1
546878,2024-10-08,2024-10-08,48.2688,37.31769,1,1
547138,2024-10-09,2024-10-09,48.30161,37.37398,1,1
547140,2024-10-09,2024-10-09,48.32113,37.763277,1,1
547142,2024-10-10,2024-10-10,49.5294,37.71496,1,1
547144,2024-10-10,2024-10-10,48.14708,37.30032,1,2
547145,2024-10-10,2024-10-10,50.307818,37.014103,1,2
547154,2024-10-11,2024-10-11,49.706668,37.610816,1,2
547168,2024-10-11,2024-10-11,48.22541,37.26245,1,2
547171,2024-10-11,2024-10-11,47.857511,37.213685,1,2
547172,2024-10-11,2024-10-11,48.47236,37.76498,1,1
547173,2024-10-12,2024-10-12,48.03069,37.37281,1,2
547175,2024-10-12,2024-10-12,48.295873,37.270044,1,2
547183,2024-10-13,2024-10-13,48.2688,37.31769,1,2
547184,2024-10-13,2024-10-13,50.211378,36.726393,1,2
547211,2024-10-14,2024-10-14,46.466667,30.733333,1,1
547212,2024-10-14,2024-10-14,47.218498,33.87503,1,2
547215,2024-10-14,2024-10-14,48.055356,37.369373,1,2
547216,2024-10-14,2024-10-14,48.26196,37.38118,1,2
547263,2024-10-15,2024-10-15,49.5294,37.71496,1,1
547272,2024-10-16,2024-10-16,48.23278,37.33693,1,2
547273,2024-10-16,2024-10-16,50.24047,36.79312,1,2
547338,2024-10-03,2024-10-03,48.07089,37.2883,1,1
